year,fullname,count
1970,Mid-year population, age 0 years, by sex,31000.0
1963,Mid-year population, age 0 years, by sex,2300.0
1964,Mid-year population, age 0 years, by sex,2300.0
1965,Mid-year population, age 0 years, by sex,2300.0
1966,Mid-year population, age 0 years, by sex,2300.0
1967,Mid-year population, age 0 years, by sex,2200.0
1968,Mid-year population, age 0 years, by sex,2100.0
1969,Mid-year population, age 0 years, by sex,2000.0
1970,Mid-year population, age 0 years, by sex,2000.0
1971,Mid-year population, age 0 years, by sex,1900.0
1972,Mid-year population, age 0 years, by sex,2100.0
1973,Mid-year population, age 0 years, by sex,2200.0
1974,Mid-year population, age 0 years, by sex,2100.0
1975,Mid-year population, age 0 years, by sex,2100.0
1976,Mid-year population, age 0 years, by sex,2000.0
1977,Mid-year population, age 0 years, by sex,2000.0
1978,Mid-year population, age 0 years, by sex,1900.0
1979,Mid-year population, age 0 years, by sex,2100.0
1980,Mid-year population, age 0 years, by sex,2200.0
1981,Mid-year population, age 0 years, by sex,2100.0
1982,Mid-year population, age 0 years, by sex,2100.0
1983,Mid-year population, age 0 years, by sex,2100.0
1984,Mid-year population, age 0 years, by sex,2100.0
1985,Mid-year population, age 0 years, by sex,2000.0
1986,Mid-year population, age 0 years, by sex,1900.0
1987,Mid-year population, age 0 years, by sex,1900.0
1988,Mid-year population, age 0 years, by sex,2100.0
1989,Mid-year population, age 0 years, by sex,2300.0
1990,Mid-year population, age 0 years, by sex,2300.0
1991,Mid-year population, age 0 years, by sex,2300.0
1992,Mid-year population, age 0 years, by sex,2200.0
1993,Mid-year population, age 0 years, by sex,2300.0
1994,Mid-year population, age 0 years, by sex,2200.0
1995,Mid-year population, age 0 years, by sex,2100.0
1996,Mid-year population, age 0 years, by sex,2100.0
1997,Mid-year population, age 0 years, by sex,2083.0
1998,Mid-year population, age 0 years, by sex,2105.0
1999,Mid-year population, age 0 years, by sex,2051.0
2000,Mid-year population, age 0 years, by sex,2127.0
2001,Mid-year population, age 0 years, by sex,2030.0
2002,Mid-year population, age 0 years, by sex,2050.0
2003,Mid-year population, age 0 years, by sex,2007.0
2004,Mid-year population, age 0 years, by sex,2084.0
2005,Mid-year population, age 0 years, by sex,2063.0
2006,Mid-year population, age 0 years, by sex,2189.0
2007,Mid-year population, age 0 years, by sex,2130.0
2008,Mid-year population, age 0 years, by sex,2289.0
2009,Mid-year population, age 0 years, by sex,2417.0
2010,Mid-year population, age 0 years, by sex,2409.0
2011,Mid-year population, age 0 years, by sex,2270.0
2012,Mid-year population, age 0 years, by sex,2197.0
2013,Mid-year population, age 0 years, by sex,2208.5
2014,Mid-year population, age 0 years, by sex,2161.5
2015,Mid-year population, age 0 years, by sex,2067.5
2016,Mid-year population, age 0 years, by sex,1999.0
2017,Mid-year population, age 0 years, by sex,1984.0
2018,Mid-year population, age 0 years, by sex,1981.5
2019,Mid-year population, age 0 years, by sex,2091.0
2020,Mid-year population, age 0 years, by sex,2163.5
1970,Mid-year population, age 0 years, by sex,28500.0
1971,Mid-year population, age 0 years, by sex,30500.0
1972,Mid-year population, age 0 years, by sex,31400.0
1973,Mid-year population, age 0 years, by sex,31700.0
1974,Mid-year population, age 0 years, by sex,33100.0
1975,Mid-year population, age 0 years, by sex,45200.0
1976,Mid-year population, age 0 years, by sex,46600.0
1977,Mid-year population, age 0 years, by sex,46600.0
1978,Mid-year population, age 0 years, by sex,45300.0
1979,Mid-year population, age 0 years, by sex,44900.0
1980,Mid-year population, age 0 years, by sex,45400.0
1981,Mid-year population, age 0 years, by sex,45300.0
1982,Mid-year population, age 0 years, by sex,46000.0
1983,Mid-year population, age 0 years, by sex,44800.0
1984,Mid-year population, age 0 years, by sex,47400.0
1985,Mid-year population, age 0 years, by sex,47800.0
1986,Mid-year population, age 0 years, by sex,48200.0
1987,Mid-year population, age 0 years, by sex,48300.0
1988,Mid-year population, age 0 years, by sex,48500.0
1989,Mid-year population, age 0 years, by sex,48800.0
1990,Mid-year population, age 0 years, by sex,49500.0
1991,Mid-year population, age 0 years, by sex,51300.0
1992,Mid-year population, age 0 years, by sex,52700.0
1993,Mid-year population, age 0 years, by sex,54100.0
1994,Mid-year population, age 0 years, by sex,55200.0
1995,Mid-year population, age 0 years, by sex,56300.0
1996,Mid-year population, age 0 years, by sex,58300.0
1997,Mid-year population, age 0 years, by sex,59700.0
1998,Mid-year population, age 0 years, by sex,62000.0
1999,Mid-year population, age 0 years, by sex,63700.0
2000,Mid-year population, age 0 years, by sex,65059.0
2001,Mid-year population, age 0 years, by sex,66108.0
2002,Mid-year population, age 0 years, by sex,67047.5
2003,Mid-year population, age 0 years, by sex,69030.0
2004,Mid-year population, age 0 years, by sex,69991.5
2005,Mid-year population, age 0 years, by sex,69752.5
2006,Mid-year population, age 0 years, by sex,70731.0
2007,Mid-year population, age 0 years, by sex,72669.0
2008,Mid-year population, age 0 years, by sex,74959.0
2009,Mid-year population, age 0 years, by sex,77063.0
2010,Mid-year population, age 0 years, by sex,79163.0
2011,Mid-year population, age 0 years, by sex,80386.0
2012,Mid-year population, age 0 years, by sex,82100.69596
2013,Mid-year population, age 0 years, by sex,83138.98712
2014,Mid-year population, age 0 years, by sex,84242.0
2015,Mid-year population, age 0 years, by sex,86030.0307
2016,Mid-year population, age 0 years, by sex,87190.0
2017,Mid-year population, age 0 years, by sex,88420.98952
2018,Mid-year population, age 0 years, by sex,89306.0
2019,Mid-year population, age 0 years, by sex,88692.0
1950,Mid-year population, age 0 years, by sex,397000.0
1951,Mid-year population, age 0 years, by sex,402900.0
1952,Mid-year population, age 0 years, by sex,399500.0
1953,Mid-year population, age 0 years, by sex,400000.0
1954,Mid-year population, age 0 years, by sex,406400.0
1955,Mid-year population, age 0 years, by sex,412300.0
1956,Mid-year population, age 0 years, by sex,412800.0
1957,Mid-year population, age 0 years, by sex,414200.0
1958,Mid-year population, age 0 years, by sex,413800.0
1959,Mid-year population, age 0 years, by sex,419700.0
1960,Mid-year population, age 0 years, by sex,427800.0
1961,Mid-year population, age 0 years, by sex,429800.0
1962,Mid-year population, age 0 years, by sex,438500.0
1963,Mid-year population, age 0 years, by sex,453500.0
1964,Mid-year population, age 0 years, by sex,473500.0
1965,Mid-year population, age 0 years, by sex,481600.0
1966,Mid-year population, age 0 years, by sex,471900.0
1967,Mid-year population, age 0 years, by sex,458300.0
1968,Mid-year population, age 0 years, by sex,442400.0
1969,Mid-year population, age 0 years, by sex,439300.0
1970,Mid-year population, age 0 years, by sex,432600.0
1971,Mid-year population, age 0 years, by sex,427400.0
1972,Mid-year population, age 0 years, by sex,427400.0
1973,Mid-year population, age 0 years, by sex,416000.0
1974,Mid-year population, age 0 years, by sex,424000.0
1975,Mid-year population, age 0 years, by sex,413600.0
1976,Mid-year population, age 0 years, by sex,394700.0
1977,Mid-year population, age 0 years, by sex,374900.0
1978,Mid-year population, age 0 years, by sex,354800.0
1979,Mid-year population, age 0 years, by sex,337100.0
1980,Mid-year population, age 0 years, by sex,322100.0
1981,Mid-year population, age 0 years, by sex,309600.0
1982,Mid-year population, age 0 years, by sex,299100.0
1983,Mid-year population, age 0 years, by sex,299100.0
1984,Mid-year population, age 0 years, by sex,290200.0
1985,Mid-year population, age 0 years, by sex,285000.0
1986,Mid-year population, age 0 years, by sex,276300.0
1987,Mid-year population, age 0 years, by sex,269200.0
1988,Mid-year population, age 0 years, by sex,273100.0
1989,Mid-year population, age 0 years, by sex,275400.0
1990,Mid-year population, age 0 years, by sex,276500.0
1991,Mid-year population, age 0 years, by sex,270200.0
1992,Mid-year population, age 0 years, by sex,248552.0
1993,Mid-year population, age 0 years, by sex,277354.0
1994,Mid-year population, age 0 years, by sex,266660.0
1995,Mid-year population, age 0 years, by sex,258677.0
1996,Mid-year population, age 0 years, by sex,253857.0
1997,Mid-year population, age 0 years, by sex,258096.0
1998,Mid-year population, age 0 years, by sex,258674.0
1999,Mid-year population, age 0 years, by sex,255666.0
2000,Mid-year population, age 0 years, by sex,258707.0
2001,Mid-year population, age 0 years, by sex,259054.0
2002,Mid-year population, age 0 years, by sex,257081.5
2003,Mid-year population, age 0 years, by sex,261675.0
2004,Mid-year population, age 0 years, by sex,267499.0
2005,Mid-year population, age 0 years, by sex,269086.0
2006,Mid-year population, age 0 years, by sex,267220.0
2007,Mid-year population, age 0 years, by sex,270217.0
2008,Mid-year population, age 0 years, by sex,274309.0
2009,Mid-year population, age 0 years, by sex,275472.0
2010,Mid-year population, age 0 years, by sex,271675.0
2011,Mid-year population, age 0 years, by sex,262624.0
2012,Mid-year population, age 0 years, by sex,257073.0
2013,Mid-year population, age 0 years, by sex,251085.0
2014,Mid-year population, age 0 years, by sex,244207.0
2015,Mid-year population, age 0 years, by sex,237191.0
2016,Mid-year population, age 0 years, by sex,230256.0
2017,Mid-year population, age 0 years, by sex,224505.0
1981,Mid-year population, age 0 years, by sex,175100.0
1982,Mid-year population, age 0 years, by sex,179000.0
1983,Mid-year population, age 0 years, by sex,186600.0
1984,Mid-year population, age 0 years, by sex,187979.0
1985,Mid-year population, age 0 years, by sex,192500.0
1986,Mid-year population, age 0 years, by sex,195100.0
1987,Mid-year population, age 0 years, by sex,198300.0
1988,Mid-year population, age 0 years, by sex,197200.0
1989,Mid-year population, age 0 years, by sex,188900.0
1990,Mid-year population, age 0 years, by sex,177100.0
1991,Mid-year population, age 0 years, by sex,170800.0
1992,Mid-year population, age 0 years, by sex,171500.0
1993,Mid-year population, age 0 years, by sex,173500.0
1994,Mid-year population, age 0 years, by sex,160700.0
1995,Mid-year population, age 0 years, by sex,138000.0
1996,Mid-year population, age 0 years, by sex,123800.0
1997,Mid-year population, age 0 years, by sex,115600.0
1998,Mid-year population, age 0 years, by sex,106900.0
1999,Mid-year population, age 0 years, by sex,102400.0
2000,Mid-year population, age 0 years, by sex,102154.0
2001,Mid-year population, age 0 years, by sex,105934.0
2002,Mid-year population, age 0 years, by sex,109098.0
2003,Mid-year population, age 0 years, by sex,115688.0
2004,Mid-year population, age 0 years, by sex,125123.0
2005,Mid-year population, age 0 years, by sex,132606.0
2006,Mid-year population, age 0 years, by sex,139646.0
2007,Mid-year population, age 0 years, by sex,150077.0
2008,Mid-year population, age 0 years, by sex,162706.0
2009,Mid-year population, age 0 years, by sex,170733.0
2010,Mid-year population, age 0 years, by sex,173442.0
2011,Mid-year population, age 0 years, by sex,177526.0
2012,Mid-year population, age 0 years, by sex,181154.0
2013,Mid-year population, age 0 years, by sex,184672.0
2014,Mid-year population, age 0 years, by sex,189460.0
2015,Mid-year population, age 0 years, by sex,191978.0
2016,Mid-year population, age 0 years, by sex,189299.5
2017,Mid-year population, age 0 years, by sex,189747.0
2018,Mid-year population, age 0 years, by sex,189299.5
2019,Mid-year population, age 0 years, by sex,191959.5
2020,Mid-year population, age 0 years, by sex,198671.5
1981,Mid-year population, age 0 years, by sex,52400.0
1982,Mid-year population, age 0 years, by sex,54900.0
1983,Mid-year population, age 0 years, by sex,58200.0
1984,Mid-year population, age 0 years, by sex,59500.0
1985,Mid-year population, age 0 years, by sex,61800.0
1986,Mid-year population, age 0 years, by sex,63900.0
1987,Mid-year population, age 0 years, by sex,64700.0
1988,Mid-year population, age 0 years, by sex,64000.0
1989,Mid-year population, age 0 years, by sex,62900.0
1990,Mid-year population, age 0 years, by sex,61600.0
1991,Mid-year population, age 0 years, by sex,61200.0
1992,Mid-year population, age 0 years, by sex,61500.0
1993,Mid-year population, age 0 years, by sex,58300.0
1994,Mid-year population, age 0 years, by sex,53800.0
1995,Mid-year population, age 0 years, by sex,53700.0
1996,Mid-year population, age 0 years, by sex,53600.0
1997,Mid-year population, age 0 years, by sex,50000.0
1998,Mid-year population, age 0 years, by sex,49100.0
1999,Mid-year population, age 0 years, by sex,50300.0
2000,Mid-year population, age 0 years, by sex,48219.0
2001,Mid-year population, age 0 years, by sex,46792.0
2002,Mid-year population, age 0 years, by sex,47934.0
2003,Mid-year population, age 0 years, by sex,49585.0
2004,Mid-year population, age 0 years, by sex,51077.0
2005,Mid-year population, age 0 years, by sex,51889.0
2006,Mid-year population, age 0 years, by sex,54660.0
2007,Mid-year population, age 0 years, by sex,57848.0
2008,Mid-year population, age 0 years, by sex,59386.0
2009,Mid-year population, age 0 years, by sex,60790.0
2010,Mid-year population, age 0 years, by sex,67240.0
2011,Mid-year population, age 0 years, by sex,71046.0
2012,Mid-year population, age 0 years, by sex,72954.0
2013,Mid-year population, age 0 years, by sex,74434.0
2014,Mid-year population, age 0 years, by sex,75814.0
2015,Mid-year population, age 0 years, by sex,77455.0
2016,Mid-year population, age 0 years, by sex,74796.0
2017,Mid-year population, age 0 years, by sex,74796.0
2018,Mid-year population, age 0 years, by sex,77943.0
2019,Mid-year population, age 0 years, by sex,83034.0
1981,Mid-year population, age 0 years, by sex,25400.0
1982,Mid-year population, age 0 years, by sex,25800.0
1983,Mid-year population, age 0 years, by sex,27100.0
1984,Mid-year population, age 0 years, by sex,27474.0
1985,Mid-year population, age 0 years, by sex,28300.0
1986,Mid-year population, age 0 years, by sex,29000.0
1987,Mid-year population, age 0 years, by sex,28900.0
1988,Mid-year population, age 0 years, by sex,28000.0
1989,Mid-year population, age 0 years, by sex,27402.0
1990,Mid-year population, age 0 years, by sex,27316.0
1991,Mid-year population, age 0 years, by sex,27298.0
1992,Mid-year population, age 0 years, by sex,26611.0
1993,Mid-year population, age 0 years, by sex,24454.0
1994,Mid-year population, age 0 years, by sex,21553.0
1995,Mid-year population, age 0 years, by sex,20112.0
1996,Mid-year population, age 0 years, by sex,19365.0
1997,Mid-year population, age 0 years, by sex,18537.0
1998,Mid-year population, age 0 years, by sex,17896.0
1999,Mid-year population, age 0 years, by sex,17575.0
2000,Mid-year population, age 0 years, by sex,16824.0
2001,Mid-year population, age 0 years, by sex,15637.0
2002,Mid-year population, age 0 years, by sex,14667.0
2003,Mid-year population, age 0 years, by sex,14267.0
2004,Mid-year population, age 0 years, by sex,14376.0
2005,Mid-year population, age 0 years, by sex,14277.0
2006,Mid-year population, age 0 years, by sex,14239.0
2007,Mid-year population, age 0 years, by sex,14357.0
2008,Mid-year population, age 0 years, by sex,14756.0
2009,Mid-year population, age 0 years, by sex,15329.0
2010,Mid-year population, age 0 years, by sex,15212.0
2011,Mid-year population, age 0 years, by sex,14745.0
2012,Mid-year population, age 0 years, by sex,14741.0
2013,Mid-year population, age 0 years, by sex,14784.0
2014,Mid-year population, age 0 years, by sex,14728.0
2015,Mid-year population, age 0 years, by sex,15036.0
2016,Mid-year population, age 0 years, by sex,14977.0
2017,Mid-year population, age 0 years, by sex,14311.0
2018,Mid-year population, age 0 years, by sex,13877.0
2019,Mid-year population, age 0 years, by sex,13545.0
2020,Mid-year population, age 0 years, by sex,12691.0
1960,Mid-year population, age 0 years, by sex,2500.0
1963,Mid-year population, age 0 years, by sex,2700.0
1965,Mid-year population, age 0 years, by sex,2400.0
1966,Mid-year population, age 0 years, by sex,2500.0
1967,Mid-year population, age 0 years, by sex,2300.0
1968,Mid-year population, age 0 years, by sex,2200.0
1969,Mid-year population, age 0 years, by sex,2100.0
1970,Mid-year population, age 0 years, by sex,2200.0
1971,Mid-year population, age 0 years, by sex,2100.0
1972,Mid-year population, age 0 years, by sex,1900.0
1973,Mid-year population, age 0 years, by sex,1800.0
1974,Mid-year population, age 0 years, by sex,1900.0
1975,Mid-year population, age 0 years, by sex,1900.0
1976,Mid-year population, age 0 years, by sex,1900.0
1977,Mid-year population, age 0 years, by sex,1900.0
1978,Mid-year population, age 0 years, by sex,1900.0
1979,Mid-year population, age 0 years, by sex,2000.0
1980,Mid-year population, age 0 years, by sex,2100.0
1981,Mid-year population, age 0 years, by sex,2100.0
1982,Mid-year population, age 0 years, by sex,2100.0
1983,Mid-year population, age 0 years, by sex,2100.0
1984,Mid-year population, age 0 years, by sex,2100.0
1985,Mid-year population, age 0 years, by sex,2000.0
1986,Mid-year population, age 0 years, by sex,2000.0
1987,Mid-year population, age 0 years, by sex,2100.0
1988,Mid-year population, age 0 years, by sex,2200.0
1989,Mid-year population, age 0 years, by sex,2300.0
1990,Mid-year population, age 0 years, by sex,2300.0
1991,Mid-year population, age 0 years, by sex,2400.0
1992,Mid-year population, age 0 years, by sex,2500.0
1993,Mid-year population, age 0 years, by sex,2600.0
1994,Mid-year population, age 0 years, by sex,2600.0
1995,Mid-year population, age 0 years, by sex,2700.0
1996,Mid-year population, age 0 years, by sex,2700.0
1997,Mid-year population, age 0 years, by sex,2700.0
1998,Mid-year population, age 0 years, by sex,2607.0
1999,Mid-year population, age 0 years, by sex,2631.0
2000,Mid-year population, age 0 years, by sex,2720.0
2001,Mid-year population, age 0 years, by sex,2494.0
2002,Mid-year population, age 0 years, by sex,2623.0
2003,Mid-year population, age 0 years, by sex,2536.0
2004,Mid-year population, age 0 years, by sex,2550.0
2005,Mid-year population, age 0 years, by sex,2598.0
2006,Mid-year population, age 0 years, by sex,2632.0
2007,Mid-year population, age 0 years, by sex,2704.0
2008,Mid-year population, age 0 years, by sex,2723.0
2009,Mid-year population, age 0 years, by sex,2722.0
2010,Mid-year population, age 0 years, by sex,2815.0
2011,Mid-year population, age 0 years, by sex,2869.0
2012,Mid-year population, age 0 years, by sex,2880.0
2013,Mid-year population, age 0 years, by sex,2958.0
2014,Mid-year population, age 0 years, by sex,2955.0
2015,Mid-year population, age 0 years, by sex,2934.0
2016,Mid-year population, age 0 years, by sex,2982.0
2017,Mid-year population, age 0 years, by sex,3010.0
2018,Mid-year population, age 0 years, by sex,3047.0
2019,Mid-year population, age 0 years, by sex,3137.0
1980,Mid-year population, age 0 years, by sex,17000.0
1981,Mid-year population, age 0 years, by sex,17400.0
1982,Mid-year population, age 0 years, by sex,17900.0
1983,Mid-year population, age 0 years, by sex,18900.0
1984,Mid-year population, age 0 years, by sex,19600.0
1985,Mid-year population, age 0 years, by sex,19600.0
1986,Mid-year population, age 0 years, by sex,20000.0
1987,Mid-year population, age 0 years, by sex,20500.0
1988,Mid-year population, age 0 years, by sex,20300.0
1989,Mid-year population, age 0 years, by sex,19400.0
1990,Mid-year population, age 0 years, by sex,18400.0
1991,Mid-year population, age 0 years, by sex,17400.0
1992,Mid-year population, age 0 years, by sex,15900.0
1993,Mid-year population, age 0 years, by sex,14100.0
1994,Mid-year population, age 0 years, by sex,12300.0
1995,Mid-year population, age 0 years, by sex,10900.0
1996,Mid-year population, age 0 years, by sex,9800.0
1997,Mid-year population, age 0 years, by sex,9200.0
1998,Mid-year population, age 0 years, by sex,8900.0
1999,Mid-year population, age 0 years, by sex,9100.0
2000,Mid-year population, age 0 years, by sex,9593.0
2001,Mid-year population, age 0 years, by sex,9722.0
2002,Mid-year population, age 0 years, by sex,9667.0
2003,Mid-year population, age 0 years, by sex,9924.0
2004,Mid-year population, age 0 years, by sex,9984.0
2005,Mid-year population, age 0 years, by sex,10209.0
2006,Mid-year population, age 0 years, by sex,10829.0
2007,Mid-year population, age 0 years, by sex,11316.0
2008,Mid-year population, age 0 years, by sex,11662.0
2009,Mid-year population, age 0 years, by sex,11213.0
2010,Mid-year population, age 0 years, by sex,9965.0
2011,Mid-year population, age 0 years, by sex,9160.0
2012,Mid-year population, age 0 years, by sex,9280.0
2013,Mid-year population, age 0 years, by sex,9776.0
2014,Mid-year population, age 0 years, by sex,10249.0
2015,Mid-year population, age 0 years, by sex,10481.0
2016,Mid-year population, age 0 years, by sex,10487.0
2017,Mid-year population, age 0 years, by sex,10212.0
2018,Mid-year population, age 0 years, by sex,9578.0
2019,Mid-year population, age 0 years, by sex,9146.5
2020,Mid-year population, age 0 years, by sex,8749.5
2020,Mid-year population, age 0 years, by sex,164.0
1980,Mid-year population, age 0 years, by sex,38414.0
1981,Mid-year population, age 0 years, by sex,38979.0
1982,Mid-year population, age 0 years, by sex,39745.0
1983,Mid-year population, age 0 years, by sex,42063.0
1984,Mid-year population, age 0 years, by sex,43575.0
1985,Mid-year population, age 0 years, by sex,43444.0
1986,Mid-year population, age 0 years, by sex,44547.0
1987,Mid-year population, age 0 years, by sex,44284.0
1988,Mid-year population, age 0 years, by sex,42903.0
1989,Mid-year population, age 0 years, by sex,40831.0
1990,Mid-year population, age 0 years, by sex,38142.0
1991,Mid-year population, age 0 years, by sex,35782.0
1992,Mid-year population, age 0 years, by sex,34190.0
1993,Mid-year population, age 0 years, by sex,30761.0
1994,Mid-year population, age 0 years, by sex,30456.0
1995,Mid-year population, age 0 years, by sex,28273.0
1996,Mid-year population, age 0 years, by sex,25887.0
1997,Mid-year population, age 0 years, by sex,21847.0
1998,Mid-year population, age 0 years, by sex,20815.0
1999,Mid-year population, age 0 years, by sex,19124.0
2000,Mid-year population, age 0 years, by sex,18036.0
2001,Mid-year population, age 0 years, by sex,17471.0
2002,Mid-year population, age 0 years, by sex,17193.0
2003,Mid-year population, age 0 years, by sex,17155.0
2004,Mid-year population, age 0 years, by sex,17787.0
2005,Mid-year population, age 0 years, by sex,18282.0
2006,Mid-year population, age 0 years, by sex,18412.0
2007,Mid-year population, age 0 years, by sex,18126.0
2008,Mid-year population, age 0 years, by sex,18168.0
2009,Mid-year population, age 0 years, by sex,19010.5
2010,Mid-year population, age 0 years, by sex,19421.0
2011,Mid-year population, age 0 years, by sex,19188.0
2012,Mid-year population, age 0 years, by sex,18841.0
2013,Mid-year population, age 0 years, by sex,18547.0
2014,Mid-year population, age 0 years, by sex,18458.0
2015,Mid-year population, age 0 years, by sex,18460.0
2016,Mid-year population, age 0 years, by sex,18077.0
2017,Mid-year population, age 0 years, by sex,17035.0
2018,Mid-year population, age 0 years, by sex,15885.0
1991,Mid-year population, age 0 years, by sex,15700.0
1992,Mid-year population, age 0 years, by sex,14800.0
1993,Mid-year population, age 0 years, by sex,13800.0
1994,Mid-year population, age 0 years, by sex,14100.0
1995,Mid-year population, age 0 years, by sex,15000.0
1996,Mid-year population, age 0 years, by sex,14900.0
1997,Mid-year population, age 0 years, by sex,13800.0
1998,Mid-year population, age 0 years, by sex,12700.0
1999,Mid-year population, age 0 years, by sex,12300.0
2000,Mid-year population, age 0 years, by sex,12100.0
2001,Mid-year population, age 0 years, by sex,12007.0
2002,Mid-year population, age 0 years, by sex,11288.0
2003,Mid-year population, age 0 years, by sex,11208.0
2004,Mid-year population, age 0 years, by sex,11225.0
2005,Mid-year population, age 0 years, by sex,10985.0
2006,Mid-year population, age 0 years, by sex,10906.0
2007,Mid-year population, age 0 years, by sex,10827.0
2008,Mid-year population, age 0 years, by sex,10929.0
2009,Mid-year population, age 0 years, by sex,11115.0
2010,Mid-year population, age 0 years, by sex,11409.0
2011,Mid-year population, age 0 years, by sex,11269.0
2012,Mid-year population, age 0 years, by sex,11078.0
2013,Mid-year population, age 0 years, by sex,11087.0
2014,Mid-year population, age 0 years, by sex,11129.0
2015,Mid-year population, age 0 years, by sex,11176.0
2016,Mid-year population, age 0 years, by sex,11019.0
2017,Mid-year population, age 0 years, by sex,10758.0
2018,Mid-year population, age 0 years, by sex,10305.0
2019,Mid-year population, age 0 years, by sex,10669.0
2020,Mid-year population, age 0 years, by sex,9354.0
1955,Mid-year population, age 0 years, by sex,3900.0
1956,Mid-year population, age 0 years, by sex,3400.0
1957,Mid-year population, age 0 years, by sex,4100.0
1958,Mid-year population, age 0 years, by sex,4100.0
1959,Mid-year population, age 0 years, by sex,4000.0
1960,Mid-year population, age 0 years, by sex,4100.0
1961,Mid-year population, age 0 years, by sex,3700.0
1962,Mid-year population, age 0 years, by sex,3600.0
1963,Mid-year population, age 0 years, by sex,3200.0
1964,Mid-year population, age 0 years, by sex,3000.0
1965,Mid-year population, age 0 years, by sex,2800.0
1966,Mid-year population, age 0 years, by sex,2500.0
1967,Mid-year population, age 0 years, by sex,2400.0
1968,Mid-year population, age 0 years, by sex,2500.0
1969,Mid-year population, age 0 years, by sex,2400.0
1970,Mid-year population, age 0 years, by sex,2500.0
1971,Mid-year population, age 0 years, by sex,2400.0
1972,Mid-year population, age 0 years, by sex,2600.0
1973,Mid-year population, age 0 years, by sex,2500.0
1974,Mid-year population, age 0 years, by sex,2500.0
1975,Mid-year population, age 0 years, by sex,2600.0
1976,Mid-year population, age 0 years, by sex,2700.0
1977,Mid-year population, age 0 years, by sex,2700.0
1978,Mid-year population, age 0 years, by sex,2700.0
1979,Mid-year population, age 0 years, by sex,2700.0
1980,Mid-year population, age 0 years, by sex,2600.0
1981,Mid-year population, age 0 years, by sex,2500.0
1982,Mid-year population, age 0 years, by sex,2900.0
1983,Mid-year population, age 0 years, by sex,2700.0
1984,Mid-year population, age 0 years, by sex,2600.0
1985,Mid-year population, age 0 years, by sex,2600.0
1986,Mid-year population, age 0 years, by sex,2400.0
1987,Mid-year population, age 0 years, by sex,2500.0
1988,Mid-year population, age 0 years, by sex,2600.0
1989,Mid-year population, age 0 years, by sex,2700.0
1990,Mid-year population, age 0 years, by sex,2700.0
1991,Mid-year population, age 0 years, by sex,2600.0
1992,Mid-year population, age 0 years, by sex,2600.0
1993,Mid-year population, age 0 years, by sex,2600.0
1994,Mid-year population, age 0 years, by sex,2400.0
1995,Mid-year population, age 0 years, by sex,2300.0
1996,Mid-year population, age 0 years, by sex,2300.0
1997,Mid-year population, age 0 years, by sex,2300.0
1998,Mid-year population, age 0 years, by sex,2200.0
1999,Mid-year population, age 0 years, by sex,2100.0
2000,Mid-year population, age 0 years, by sex,2127.0
2001,Mid-year population, age 0 years, by sex,2021.0
2002,Mid-year population, age 0 years, by sex,1868.0
2003,Mid-year population, age 0 years, by sex,1924.0
2004,Mid-year population, age 0 years, by sex,1941.0
2005,Mid-year population, age 0 years, by sex,1853.0
2006,Mid-year population, age 0 years, by sex,1807.0
2007,Mid-year population, age 0 years, by sex,1777.0
2008,Mid-year population, age 0 years, by sex,1850.0
2009,Mid-year population, age 0 years, by sex,1933.0
2010,Mid-year population, age 0 years, by sex,1921.0
2011,Mid-year population, age 0 years, by sex,1973.0
2012,Mid-year population, age 0 years, by sex,2029.0
2013,Mid-year population, age 0 years, by sex,1972.0
2014,Mid-year population, age 0 years, by sex,1959.0
2015,Mid-year population, age 0 years, by sex,2076.0
2016,Mid-year population, age 0 years, by sex,2193.0
2017,Mid-year population, age 0 years, by sex,2178.0
1985,Mid-year population, age 0 years, by sex,5064.0
1986,Mid-year population, age 0 years, by sex,5010.0
1987,Mid-year population, age 0 years, by sex,5005.0
1988,Mid-year population, age 0 years, by sex,4978.0
1989,Mid-year population, age 0 years, by sex,4918.0
1990,Mid-year population, age 0 years, by sex,4821.0
1991,Mid-year population, age 0 years, by sex,5893.0
1992,Mid-year population, age 0 years, by sex,4517.0
1993,Mid-year population, age 0 years, by sex,4316.0
1994,Mid-year population, age 0 years, by sex,4271.0
1995,Mid-year population, age 0 years, by sex,4434.0
1996,Mid-year population, age 0 years, by sex,4468.0
1997,Mid-year population, age 0 years, by sex,4285.0
2000,Mid-year population, age 0 years, by sex,3883.0
2001,Mid-year population, age 0 years, by sex,3883.0
2002,Mid-year population, age 0 years, by sex,3883.0
2003,Mid-year population, age 0 years, by sex,3938.0
2004,Mid-year population, age 0 years, by sex,3908.0
2005,Mid-year population, age 0 years, by sex,3653.0
2006,Mid-year population, age 0 years, by sex,3525.0
2007,Mid-year population, age 0 years, by sex,3639.0
2008,Mid-year population, age 0 years, by sex,3850.0
2009,Mid-year population, age 0 years, by sex,4026.0
2010,Mid-year population, age 0 years, by sex,3802.0
2011,Mid-year population, age 0 years, by sex,3685.0
2012,Mid-year population, age 0 years, by sex,3568.0
2013,Mid-year population, age 0 years, by sex,3680.0
2014,Mid-year population, age 0 years, by sex,3666.0
2015,Mid-year population, age 0 years, by sex,3582.569991
2016,Mid-year population, age 0 years, by sex,3649.639983
2017,Mid-year population, age 0 years, by sex,3673.0
2018,Mid-year population, age 0 years, by sex,3550.0
